Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Priority,Description,Created Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Story,34191,init deployment and resources,,Closed,Lahav\All-Fix,,0,2,,5.11.2023 19:14:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic,34204,Admin panel,,Closed,Lahav\All-Fix,,0,2,,6.11.2023 9:41:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic,34205,Count operations,,Closed,Lahav\All-Fix,,0,2,,6.11.2023 9:42:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic,34208,Template counts,,Closed,Lahav\All-Fix,,0,2,,6.11.2023 9:46:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Story,34254,Update Serials Counted,,Closed,Lahav\All-Fix,,0,2,"<div><div style=""box-sizing:border-box;direction:rtl;""><div style=""box-sizing:border-box;"">מטרת המסך היא לאפשר לסופר להזין תוצאות ספירת מק&quot;ט מנוהל סיריאלי. </div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><span style=""box-sizing:border-box;display:inline !important;"">יש לשלוף את נתוני המק&quot;ט מטבלת מק&quot;טים השייך לספירה עבור המק&quot;ט שנבחר ולהציג למשתמש את מספר המק&quot;ט, שם המק&quot;ט, הכמות בSAP והכמות המצטברת שנספרה עד כה בכל המיקומים (כמות מצטברת&nbsp;תשלף מטבלת Material_In_Count)</span><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;direction:rtl;""><span style=""box-sizing:border-box;display:inline !important;""><br style=""box-sizing:border-box;""></span> </div><div style=""box-sizing:border-box;direction:rtl;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;direction:rtl;"">יש להציג למשתמש שדה לבחירת מיקום שבו נמצאת הכמות שאותה הוא סופר: </div><div style=""box-sizing:border-box;direction:rtl;"">DROPDOWN List &quot;בחר מיקום&quot; שבו יש לבחור מיקום מרשימת המיקומים הקיימים לאתר האחסון,&nbsp; (רשימת מקומות ספירה תשלף מטבלת מיקום &quot;Location_In_Storage&quot;) </div><div style=""box-sizing:border-box;direction:rtl;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;direction:rtl;""><div style=""box-sizing:border-box;"">יש לשלוף את כל הסיריאליים השייכות לספירה מטבלת סריאליים Serial_In_Count ולהציג אותם למשתמש, על המשתמש להזין עבור כל מספר סריאלי ברשימה אם הסיריאלי נמצא/לא נמצא במלאי.<br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">אם כבר יש ערך בשדה IsExist יש להציג למשתמש את הSlider (True - ירוק, False - אדום) </div><div style=""box-sizing:border-box;""><br> </div> </div><div style=""box-sizing:border-box;direction:rtl;"">Slider לבחירת &quot;נמצא/לא נמצא&quot; יהיה זמין רק לאחר בחירת מיקום. </div><div style=""box-sizing:border-box;direction:rtl;"">החלקה ימינה - שינוי לירוק, נמצא </div><div style=""box-sizing:border-box;direction:rtl;"">החלקה שמאלה - שינוי לאדום, לא נמצא </div><div style=""box-sizing:border-box;direction:rtl;"">אמצע - אפור,&nbsp; טרם נבחר </div><div style=""box-sizing:border-box;direction:rtl;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;direction:rtl;"">כפתור &quot;שמור נתונים&quot; - יהיה זמין רק לאחר בחירת מיקום, המשתמש ישמור את הנתונים עבור הספירה: </div><div style=""box-sizing:border-box;direction:rtl;"">אם נבחר נמצא - יש להכניס לשדה IsExist&nbsp; -&gt; True בטבלת&nbsp;<span style=""display:inline !important;"">Serial_In_Count</span> </div><div style=""box-sizing:border-box;direction:rtl;"">אם נבחר לא נמצא - יש להכניס&nbsp;<span style=""display:inline !important;"">לשדה לIsExist&nbsp; -&gt; False בטבלת&nbsp;<span style=""display:inline !important;"">Serial_In_Count</span></span> </div><div style=""box-sizing:border-box;direction:rtl;"">לכל סיריאלי ששונה לו ערך IsExist יש לעדכן את שדה המיקום למיקום הנבחר </div><div style=""box-sizing:border-box;direction:rtl;"">כמות הסימונים של &quot;נמצא&quot; תעדכן את הכמות המצטברת<span>&nbsp;</span><span style=""box-sizing:border-box;display:inline !important;"">למק&quot;ט בטבלת Material_In_Count שדה Counted_Amount</span> </div><div style=""box-sizing:border-box;direction:rtl;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;direction:rtl;"">כפתור &quot;ביטול&quot; - יחזור למסך הזנת תוצאות ספירה ראשי ללא שינויים </div><div style=""box-sizing:border-box;direction:rtl;""><br> </div> </div><br> </div><div> </div>",6.11.2023 23:11:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
